Reference,Study_common_taxon,Site_name,Sampling_effort,Longitude,Latitude,species,Measurement,Effort_corrected_measurement
Cameron et al. 2011,Hymenoptera,1/2 mi S of Caledonia(MN09.site02)_09,90,-91.50724,43.62854,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,1/2 mi S of Caledonia(MN09.site02)_09,90,-91.50724,43.62854,Bombus impatiens,47,88.77777777777777
Cameron et al. 2011,Hymenoptera,Hwy79 2mi N of Stuttgart (AR09.site02)_09,90,-91.49578,34.54717,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy79 2mi N of Stuttgart (AR09.site02)_09,90,-91.49578,34.54717,Bombus impatiens,9,17
Cameron et al. 2011,Hymenoptera,Houston (Hwy 16) (MN08.site02)_08,90,-91.43555,43.76343,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Houston (Hwy 16) (MN08.site02)_08,90,-91.43555,43.76343,Bombus impatiens,6,11.333333333333334
Cameron et al. 2011,Hymenoptera,"Hwy 16, 1.8 mi W of Sparta (WI09.site03)_09",90,-90.84694,43.9347,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Hwy 16, 1.8 mi W of Sparta (WI09.site03)_09",90,-90.84694,43.9347,Bombus impatiens,21,39.666666666666664
Cameron et al. 2011,Hymenoptera,Shaw Nature Preserve (MO09.site02)_09,90,-90.823385,38.48037,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Shaw Nature Preserve (MO09.site02)_09,90,-90.823385,38.48037,Bombus impatiens,26,49.11111111111111
Cameron et al. 2011,Hymenoptera,Shaw Nature Reserve (MO08.site02A)_08,90,-90.82303,38.48341,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Shaw Nature Reserve (MO08.site02A)_08,90,-90.82303,38.48341,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,Busch Conservation Area (MO08.site01)_08,90,-90.74902,38.70967,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Busch Conservation Area (MO08.site01)_08,90,-90.74902,38.70967,Bombus impatiens,1,1.8888888888888888
Cameron et al. 2011,Hymenoptera,"Rt79 at St. Francis River, 1mi N of Soudan (AR09.site01)_09",90,-90.636,34.84627,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Rt79 at St. Francis River, 1mi N of Soudan (AR09.site01)_09",90,-90.636,34.84627,Bombus impatiens,1,1.8888888888888888
Cameron et al. 2011,Hymenoptera,3 mi W of Hazel Green (WI09.site04)_09,90,-90.49508,42.52891,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,3 mi W of Hazel Green (WI09.site04)_09,90,-90.49508,42.52891,Bombus impatiens,29,54.77777777777778
Cameron et al. 2011,Hymenoptera,2 km w of Wyeville (WI08.site02)_08,90,-90.42028,44.02995,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,2 km w of Wyeville (WI08.site02)_08,90,-90.42028,44.02995,Bombus impatiens,25,47.22222222222222
Cameron et al. 2011,Hymenoptera,Litzsinger Prairie (MO08.site04)_08,90,-90.37707,38.62258,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Litzsinger Prairie (MO08.site04)_08,90,-90.37707,38.62258,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,"Carlinville, Alton Rd (IL08.site14)_08",90,-89.89844,39.26545,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Carlinville, Alton Rd (IL08.site14)_08",90,-89.89844,39.26545,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,"Wisconsin Dells, behind Polynesian Hotel (WI09.site02)_09",90,-89.80411,43.6267,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Wisconsin Dells, behind Polynesian Hotel (WI09.site02)_09",90,-89.80411,43.6267,Bombus impatiens,60,113.33333333333333
Cameron et al. 2011,Hymenoptera,Research Plot (ARS) 8 mi off I-74 (IL08.site09)_08,90,-89.803093,40.916516,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Research Plot (ARS) 8 mi off I-74 (IL08.site09)_08,90,-89.803093,40.916516,Bombus impatiens,9,17
Cameron et al. 2011,Hymenoptera,"Jubilee College SP, Valley View picnic area (IL09.site08)_09",90,-89.80296,40.82507,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Jubilee College SP, Valley View picnic area (IL09.site08)_09",90,-89.80296,40.82507,Bombus impatiens,54,102
Cameron et al. 2011,Hymenoptera,"University of WI, Madison Arboretum (WI09.site01)_09",90,-89.43149,43.04103,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"University of WI, Madison Arboretum (WI09.site01)_09",90,-89.43149,43.04103,Bombus impatiens,22,41.55555555555556
Cameron et al. 2011,Hymenoptera,Murphysboro (IL08.site01)_08,90,-89.41856,37.77345,Bombus bifarius,0,0
